game_p_0,simu_p_0,game_p_1,simu_p_1,game_p_2,simu_p_2,game_p_3,simu_p_3
0.278,0.241,0.225,0.241,0.258,0.275,0.239,0.243
0.24,0.267,0.233,0.235,0.248,0.248,0.279,0.25
0.265,0.259,0.225,0.242,0.252,0.261,0.258,0.238
0.26,0.23,0.251,0.262,0.245,0.25,0.244,0.258
0.252,0.26,0.235,0.247,0.276,0.256,0.237,0.237
0.251,0.271,0.264,0.246,0.235,0.236,0.25,0.247
0.265,0.259,0.251,0.247,0.211,0.236,0.273,0.258
0.256,0.242,0.265,0.251,0.279,0.259,0.2,0.248
0.251,0.242,0.235,0.241,0.258,0.244,0.256,0.273
0.269,0.258,0.266,0.251,0.247,0.229,0.218,0.262
0.248,0.243,0.244,0.255,0.263,0.26,0.245,0.242
0.287,0.25,0.256,0.269,0.233,0.229,0.224,0.252
0.252,0.253,0.243,0.259,0.248,0.237,0.257,0.251
0.255,0.264,0.23,0.249,0.278,0.265,0.237,0.222
0.24,0.263,0.245,0.254,0.238,0.243,0.277,0.24
0.232,0.255,0.256,0.251,0.272,0.217,0.24,0.277
0.25,0.234,0.259,0.264,0.237,0.218,0.254,0.284
0.226,0.266,0.256,0.244,0.258,0.251,0.26,0.239
0.265,0.233,0.233,0.244,0.249,0.249,0.253,0.274
0.224,0.253,0.253,0.245,0.253,0.265,0.27,0.237
0.24,0.239,0.267,0.268,0.224,0.251,0.269,0.242
0.252,0.26,0.264,0.259,0.233,0.244,0.251,0.237
0.232,0.246,0.244,0.255,0.265,0.244,0.259,0.255
0.246,0.252,0.27,0.251,0.241,0.253,0.243,0.244
