game_p_0,simu_p_0,game_p_1,simu_p_1,game_p_2,simu_p_2,game_p_3,simu_p_3
0.279,0.256,0.241,0.265,0.247,0.208,0.233,0.271
0.245,0.261,0.237,0.242,0.243,0.242,0.275,0.255
0.281,0.234,0.238,0.276,0.254,0.233,0.227,0.257
0.277,0.238,0.261,0.245,0.26,0.278,0.202,0.239
0.286,0.241,0.252,0.249,0.245,0.245,0.217,0.265
0.249,0.247,0.255,0.252,0.231,0.276,0.265,0.225
0.269,0.241,0.265,0.26,0.225,0.258,0.241,0.241
0.258,0.243,0.251,0.282,0.246,0.246,0.245,0.229
0.274,0.254,0.251,0.235,0.263,0.247,0.212,0.264
0.281,0.238,0.224,0.252,0.252,0.266,0.243,0.244
0.264,0.223,0.269,0.259,0.225,0.27,0.242,0.248
0.275,0.262,0.263,0.253,0.223,0.236,0.239,0.249
0.275,0.251,0.255,0.288,0.249,0.248,0.221,0.213
0.249,0.249,0.268,0.256,0.239,0.259,0.244,0.236
0.277,0.251,0.235,0.253,0.257,0.253,0.231,0.243
0.289,0.237,0.274,0.263,0.226,0.273,0.211,0.227
0.265,0.261,0.235,0.245,0.251,0.26,0.249,0.234
0.272,0.239,0.223,0.28,0.224,0.244,0.281,0.237
0.251,0.254,0.235,0.245,0.258,0.258,0.256,0.243
0.266,0.264,0.256,0.26,0.228,0.241,0.25,0.235
0.254,0.262,0.276,0.247,0.232,0.253,0.238,0.238
0.281,0.237,0.242,0.237,0.23,0.254,0.247,0.272
0.264,0.238,0.279,0.255,0.248,0.264,0.209,0.243
0.274,0.244,0.235,0.253,0.242,0.246,0.249,0.257
0.267,0.265,0.227,0.229,0.244,0.238,0.262,0.268
0.268,0.271,0.234,0.237,0.241,0.226,0.257,0.266
0.275,0.249,0.252,0.252,0.238,0.255,0.235,0.244
0.267,0.258,0.279,0.222,0.23,0.253,0.224,0.267
0.273,0.229,0.268,0.257,0.233,0.258,0.226,0.256
0.269,0.245,0.255,0.244,0.225,0.238,0.251,0.273
0.282,0.239,0.259,0.248,0.24,0.255,0.219,0.258
0.278,0.252,0.266,0.232,0.232,0.269,0.224,0.247
0.262,0.23,0.249,0.261,0.253,0.263,0.236,0.246
0.257,0.25,0.252,0.239,0.268,0.295,0.223,0.216
0.286,0.262,0.229,0.234,0.253,0.257,0.232,0.247
0.269,0.265,0.226,0.224,0.24,0.279,0.265,0.232
0.302,0.269,0.237,0.258,0.229,0.225,0.232,0.248
0.299,0.232,0.257,0.271,0.242,0.237,0.202,0.26
0.269,0.25,0.253,0.247,0.244,0.263,0.234,0.24
0.238,0.226,0.261,0.252,0.269,0.28,0.232,0.242
0.243,0.251,0.255,0.225,0.24,0.254,0.262,0.27
0.273,0.261,0.247,0.239,0.252,0.251,0.228,0.249
0.301,0.255,0.239,0.246,0.244,0.25,0.216,0.249
0.256,0.256,0.245,0.236,0.261,0.257,0.238,0.251
0.238,0.263,0.248,0.221,0.263,0.247,0.251,0.269
0.265,0.262,0.252,0.26,0.234,0.252,0.249,0.226
0.263,0.237,0.259,0.251,0.255,0.261,0.223,0.251
0.264,0.282,0.229,0.242,0.258,0.241,0.249,0.235
0.282,0.229,0.225,0.266,0.243,0.245,0.25,0.26
0.263,0.24,0.262,0.261,0.238,0.244,0.237,0.255
0.267,0.25,0.227,0.249,0.258,0.237,0.248,0.264
0.28,0.264,0.254,0.259,0.228,0.233,0.238,0.244
0.269,0.273,0.256,0.254,0.23,0.227,0.245,0.246
0.275,0.237,0.247,0.251,0.212,0.255,0.266,0.257
0.271,0.249,0.226,0.247,0.257,0.242,0.246,0.262
0.274,0.232,0.255,0.254,0.228,0.262,0.243,0.252
0.253,0.259,0.258,0.255,0.24,0.242,0.249,0.244
0.276,0.242,0.244,0.253,0.24,0.267,0.24,0.238
0.267,0.247,0.262,0.246,0.227,0.265,0.244,0.242
0.255,0.242,0.245,0.246,0.253,0.25,0.247,0.262
0.257,0.266,0.264,0.249,0.237,0.234,0.242,0.251
0.251,0.248,0.248,0.238,0.256,0.245,0.245,0.269
0.262,0.246,0.255,0.238,0.25,0.241,0.233,0.275
0.263,0.265,0.252,0.26,0.237,0.237,0.248,0.238
0.261,0.24,0.247,0.239,0.26,0.273,0.232,0.248
0.27,0.264,0.246,0.222,0.259,0.242,0.225,0.272
0.262,0.245,0.24,0.265,0.249,0.238,0.249,0.252
0.246,0.261,0.243,0.255,0.225,0.23,0.286,0.254
0.25,0.227,0.244,0.273,0.274,0.254,0.232,0.246
0.269,0.245,0.238,0.257,0.249,0.243,0.244,0.255
0.252,0.28,0.269,0.255,0.24,0.235,0.239,0.23
0.281,0.243,0.244,0.277,0.251,0.224,0.224,0.256
0.283,0.236,0.224,0.246,0.259,0.257,0.234,0.261
0.247,0.254,0.241,0.261,0.244,0.239,0.268,0.246
0.269,0.251,0.239,0.249,0.251,0.246,0.241,0.254
0.284,0.239,0.263,0.268,0.229,0.257,0.224,0.236
0.251,0.231,0.26,0.27,0.224,0.262,0.265,0.237
0.255,0.243,0.245,0.256,0.245,0.245,0.255,0.256
0.235,0.267,0.248,0.229,0.267,0.272,0.25,0.232
0.269,0.228,0.242,0.242,0.265,0.27,0.224,0.26
0.264,0.272,0.231,0.249,0.248,0.232,0.257,0.247
0.239,0.256,0.279,0.247,0.23,0.251,0.252,0.246
0.258,0.245,0.261,0.254,0.24,0.257,0.241,0.244
0.251,0.256,0.234,0.258,0.251,0.251,0.264,0.235
0.277,0.234,0.247,0.244,0.226,0.254,0.25,0.268
0.269,0.235,0.221,0.262,0.252,0.24,0.258,0.263
0.266,0.275,0.239,0.268,0.252,0.227,0.243,0.23
0.263,0.268,0.246,0.243,0.24,0.242,0.251,0.247
0.265,0.24,0.253,0.241,0.232,0.271,0.25,0.248
0.282,0.252,0.237,0.252,0.252,0.24,0.229,0.256
0.278,0.282,0.247,0.244,0.236,0.237,0.239,0.237
0.265,0.258,0.256,0.232,0.229,0.25,0.25,0.26
0.262,0.239,0.25,0.247,0.231,0.272,0.257,0.242
0.283,0.267,0.252,0.226,0.248,0.272,0.217,0.235
0.282,0.228,0.254,0.251,0.225,0.257,0.239,0.264
0.265,0.259,0.228,0.247,0.225,0.227,0.282,0.267
0.266,0.238,0.23,0.276,0.261,0.256,0.243,0.23
0.288,0.245,0.281,0.249,0.201,0.24,0.23,0.266
0.241,0.234,0.25,0.26,0.265,0.258,0.244,0.248
0.279,0.256,0.249,0.242,0.219,0.264,0.253,0.238
0.261,0.238,0.269,0.233,0.248,0.255,0.222,0.274
0.262,0.275,0.247,0.232,0.25,0.224,0.241,0.269
0.257,0.251,0.257,0.246,0.262,0.245,0.224,0.258
0.268,0.25,0.232,0.253,0.248,0.228,0.252,0.269
0.284,0.221,0.244,0.27,0.242,0.241,0.23,0.268
0.275,0.276,0.261,0.254,0.238,0.215,0.226,0.255
0.243,0.236,0.257,0.278,0.231,0.258,0.269,0.228
0.273,0.248,0.267,0.252,0.24,0.252,0.22,0.248
0.233,0.238,0.254,0.272,0.259,0.259,0.254,0.231
0.269,0.221,0.259,0.266,0.237,0.261,0.235,0.252
0.281,0.265,0.246,0.246,0.255,0.239,0.218,0.25
0.244,0.268,0.269,0.24,0.258,0.242,0.229,0.25
0.278,0.258,0.253,0.234,0.225,0.253,0.244,0.255
0.256,0.242,0.263,0.249,0.246,0.276,0.235,0.233
0.269,0.264,0.25,0.257,0.248,0.25,0.233,0.229
0.252,0.24,0.24,0.246,0.255,0.239,0.253,0.275
0.259,0.254,0.257,0.275,0.25,0.244,0.234,0.227
0.245,0.262,0.26,0.266,0.263,0.224,0.232,0.248
0.269,0.263,0.232,0.252,0.232,0.222,0.267,0.263
0.246,0.235,0.237,0.262,0.244,0.26,0.273,0.243
0.263,0.282,0.274,0.237,0.218,0.244,0.245,0.237
0.27,0.275,0.236,0.261,0.225,0.202,0.269,0.262
0.256,0.255,0.273,0.247,0.241,0.266,0.23,0.232
0.274,0.252,0.248,0.265,0.233,0.255,0.245,0.228
0.276,0.239,0.239,0.246,0.253,0.269,0.232,0.246
0.258,0.247,0.26,0.247,0.226,0.248,0.256,0.258
0.277,0.236,0.243,0.24,0.244,0.294,0.236,0.23
0.264,0.231,0.265,0.24,0.25,0.251,0.221,0.278
0.272,0.264,0.247,0.246,0.252,0.24,0.229,0.25
0.265,0.262,0.25,0.255,0.252,0.217,0.233,0.266
0.255,0.279,0.261,0.24,0.236,0.236,0.248,0.245
0.278,0.261,0.265,0.254,0.23,0.245,0.227,0.24
0.265,0.26,0.261,0.25,0.236,0.247,0.238,0.243
0.244,0.243,0.245,0.254,0.274,0.236,0.237,0.267
0.259,0.254,0.244,0.247,0.238,0.226,0.259,0.273
0.258,0.272,0.245,0.253,0.229,0.251,0.268,0.224
0.26,0.252,0.252,0.252,0.278,0.238,0.21,0.258
0.277,0.256,0.245,0.26,0.245,0.241,0.233,0.243
0.274,0.254,0.237,0.254,0.255,0.245,0.234,0.247
0.251,0.258,0.27,0.25,0.248,0.249,0.231,0.243
0.278,0.255,0.257,0.225,0.245,0.251,0.22,0.269
0.275,0.243,0.245,0.241,0.245,0.272,0.235,0.244
0.302,0.254,0.225,0.265,0.237,0.264,0.236,0.217
0.256,0.247,0.26,0.238,0.242,0.252,0.242,0.263
0.275,0.228,0.269,0.248,0.23,0.248,0.226,0.276
0.245,0.244,0.25,0.249,0.253,0.229,0.252,0.278
0.268,0.26,0.26,0.241,0.245,0.246,0.227,0.253
0.252,0.26,0.255,0.261,0.245,0.247,0.248,0.232
0.269,0.255,0.238,0.259,0.241,0.25,0.252,0.236
0.252,0.26,0.254,0.258,0.259,0.24,0.235,0.242
0.281,0.254,0.24,0.257,0.244,0.257,0.235,0.232
0.237,0.257,0.277,0.248,0.24,0.234,0.246,0.261
0.297,0.257,0.239,0.267,0.229,0.237,0.235,0.239
0.265,0.231,0.259,0.246,0.23,0.262,0.246,0.261
0.241,0.216,0.281,0.258,0.231,0.265,0.247,0.261
0.307,0.258,0.23,0.226,0.233,0.256,0.23,0.26
