replicate_id,winner,plus4s_0,plus4s_1,plus4s_2,plus4s_3
999,1,0,1,0,0
1000,2,0,2,1,0
1001,0,1,0,0,0
1002,1,0,0,0,0
1003,1,0,1,1,0
1004,3,0,2,0,0
1005,0,0,0,0,0
1006,2,0,0,1,0
1007,1,0,0,0,0
1008,2,1,0,0,0
1009,0,2,0,0,0
1010,2,0,0,1,1
1011,2,0,0,0,0
1012,0,0,0,0,0
1013,3,1,0,0,1
1014,0,1,0,0,1
1015,3,1,1,1,1
1016,3,0,0,1,1
1017,1,0,1,1,0
1018,2,0,0,0,1
1019,2,2,0,0,0
1020,3,1,0,0,0
1021,0,1,0,2,0
1022,1,0,0,1,1
1023,0,0,1,0,0
1024,3,0,0,0,1
1025,1,0,2,1,0
1026,0,0,0,0,1
1027,0,0,1,0,0
1028,2,0,0,1,0
1029,2,0,1,1,0
1030,3,0,0,0,0
1031,1,0,0,0,0
1032,1,1,2,0,0
1033,3,0,0,1,2
1034,0,0,1,1,0
1035,1,0,1,0,0
1036,2,0,1,1,0
1037,1,0,0,1,2
1038,3,0,0,1,1
1039,3,2,0,1,0
1040,2,1,0,1,0
1041,2,1,0,0,1
1042,2,0,0,1,1
1043,2,0,0,0,0
1044,1,0,0,1,0
1045,2,1,0,1,1
1046,2,0,0,1,2
1047,0,0,0,1,0
1048,3,0,0,0,1
1049,1,1,0,1,0
1050,2,0,0,0,0
1051,2,0,1,2,0
1052,3,0,1,0,1
1053,0,0,2,0,1
1054,1,0,0,0,0
1055,2,2,0,1,0
1056,1,0,0,1,1
1057,1,1,1,0,0
1058,1,0,1,0,1
1059,3,2,0,0,1
1060,1,0,1,2,0
1061,2,0,1,0,0
1062,3,0,0,0,1
1063,0,1,1,0,0
1064,0,0,1,0,2
1065,3,0,0,0,1
1066,0,1,0,0,1
1067,0,0,0,1,0
1068,0,0,1,0,0
1069,2,0,0,0,0
1070,3,0,0,1,1
1071,3,0,0,1,1
1072,3,1,0,0,0
1073,3,0,0,0,0
1074,2,1,0,0,0
1075,1,0,1,0,0
1076,2,0,0,0,0
1077,3,0,0,0,0
1078,2,0,0,0,0
1079,2,1,1,0,0
1080,0,0,0,1,1
1081,0,0,0,1,1
1082,0,0,0,0,0
1083,1,0,1,0,0
1084,3,1,1,0,0
1085,1,0,0,0,0
1086,2,1,1,1,0
1087,3,0,0,1,0
1088,2,0,0,0,0
1089,0,1,1,1,0
1090,2,0,0,0,0
1091,2,0,1,1,0
1092,0,0,1,0,0
1093,2,0,1,0,0
1094,1,0,0,0,0
1095,1,0,1,0,0
1096,2,0,0,0,0
1097,3,2,0,0,0
1098,0,0,0,0,0
1099,3,0,1,2,0
1100,3,0,0,0,0
1101,0,0,0,0,0
1102,0,0,0,0,0
1103,1,0,1,0,0
1104,2,0,1,0,0
1105,2,3,0,0,0
1106,2,0,0,1,0
1107,2,0,0,3,0
1108,1,0,1,0,0
1109,0,0,0,1,1
1110,1,0,1,0,0
1111,0,1,0,0,0
1112,3,0,0,1,0
1113,1,0,0,0,0
1114,0,0,0,0,0
1115,1,0,1,0,0
1116,3,0,0,1,0
1117,2,1,0,0,0
1118,2,1,1,0,2
1119,2,1,0,0,2
1120,2,0,0,1,1
1121,0,0,0,0,1
1122,0,2,1,0,1
1123,2,0,0,0,0
1124,1,0,0,0,0
1125,2,0,0,1,0
1126,2,1,1,0,0
1127,0,1,1,0,0
1128,2,1,0,0,0
1129,3,0,0,0,2
1130,3,1,0,0,0
1131,1,0,1,0,1
1132,1,0,0,1,0
1133,3,0,0,0,0
1134,0,1,1,1,0
1135,3,0,0,1,1
1136,1,1,0,1,1
1137,0,1,0,1,0
1138,3,0,1,0,0
